Item #,Part Name,Quantity,Material,Mass (g),Volume,SIZE,,
,,,,,,L,W,H
206,Fuel Channel_C-206,1,Stainless Steel AISI 405,2348.5 ,293.6 ,10.0 ,9.8 ,8.3 
207,Fuel Channel_C-207,1,Stainless Steel AISI 405,1209.9 ,151.2 ,10.0 ,9.0 ,9.0 
208,Fuel Channel_C-208,1,Stainless Steel AISI 405,1374.0 ,171.7 ,10.0 ,8.6 ,8.6 
209,Fuel Channel_C-209,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
210,Fuel Channel_C-210,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
211,Fuel Channel_C-211,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
212,Fuel Channel_C-212,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
213,Fuel Channel_C-213,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
214,Fuel Channel_C-214,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
215,Fuel Channel_C-215,1,Stainless Steel AISI 405,1334.8 ,166.8 ,10.0 ,7.5 ,7.5 
216,Fuel Channel_C-216,1,Stainless Steel AISI 405,1629.8 ,203.7 ,10.0 ,8.4 ,8.4 
217,Fuel Channel_C-217,1,Stainless Steel AISI 405,1100.6 ,137.6 ,10.0 ,8.4 ,8.4 
218,Fuel Channel_C-218,1,Stainless Steel AISI 405,1972.3 ,246.5 ,10.0 ,8.7 ,8.7 
219,Fuel Channel_C-219,1,Stainless Steel AISI 405,960.3 ,120.0 ,10.0 ,8.3 ,8.3 
220,Fuel Channel_C-220,1,Stainless Steel AISI 405,1001.4 ,125.2 ,10.0 ,8.8 ,8.8 
221,Fuel Channel_C-221,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
222,Fuel Channel_C-222,1,Stainless Steel AISI 405,2214.3 ,276.8 ,10.0 ,8.4 ,8.0 
223,Fuel Channel_C-223,1,Stainless Steel AISI 405,2084.3 ,260.5 ,10.0 ,9.8 ,7.9 
224,Fuel Channel_C-224,1,Stainless Steel AISI 405,1927.5 ,240.9 ,10.0 ,8.7 ,8.3 
225,Fuel Channel_C-225,1,Stainless Steel AISI 405,1977.8 ,247.2 ,10.0 ,8.8 ,8.4 
226,Fuel Channel_C-226,1,Stainless Steel AISI 405,1758.2 ,219.8 ,10.0 ,8.7 ,8.3 
227,Fuel Channel_C-227,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
228,Fuel Channel_C-228,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
229,Fuel Channel_C-229,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
230,Fuel Channel_C-230,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
231,Fuel Channel_C-231,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
232,Fuel Channel_C-232,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
233,Fuel Channel_C-233,1,Stainless Steel AISI 405,1288.7 ,161.1 ,10.0 ,7.5 ,7.1 
